State,District,Year,Quarter,Registered_Users,App_Open_Count
Andhra Pradesh,Spsr Nellore,2021,3,1263550,90102349
Andhra Pradesh,Vizianagaram,2021,3,784444,46277311
Andhra Pradesh,Ysr,2021,3,1183377,86369956
Andhra Pradesh,West Godavari,2021,3,1436576,80244808
Andhra Pradesh,Chittoor,2021,3,2007011,135043395
Andhra Pradesh,East Godavari,2021,4,2294347,142536856
Andhra Pradesh,Srikakulam,2021,4,965335,61654215
Andhra Pradesh,Visakhapatnam,2021,4,2888774,188757640
Andhra Pradesh,Prakasam,2021,4,1325728,86410317
Andhra Pradesh,Anantapur,2021,4,1719437,120768682
Andhra Pradesh,Kurnool,2021,4,1628242,97379271
Andhra Pradesh,Guntur,2021,4,2252443,130920743
Andhra Pradesh,Krishna,2021,4,2288148,134436469
Andhra Pradesh,Spsr Nellore,2021,4,1349290,90814672
Andhra Pradesh,Vizianagaram,2021,4,839606,56101822
Andhra Pradesh,Ysr,2021,4,1262963,83534122
Andhra Pradesh,West Godavari,2021,4,1532898,100007280
Andhra Pradesh,Chittoor,2021,4,2141818,154395512
Andhra Pradesh,East Godavari,2022,1,2432305,87134562
Andhra Pradesh,Srikakulam,2022,1,1027283,46691467
Andhra Pradesh,Visakhapatnam,2022,1,3061324,88803090
Andhra Pradesh,Prakasam,2022,1,1408929,104851997
Andhra Pradesh,Anantapur,2022,1,1827094,155792533
Andhra Pradesh,Kurnool,2022,1,1729513,119653214
Andhra Pradesh,Guntur,2022,1,2387051,88844052
Andhra Pradesh,Krishna,2022,1,2423373,85871644
Andhra Pradesh,Spsr Nellore,2022,1,1431664,101671767
Andhra Pradesh,Vizianagaram,2022,1,892889,44804002
Andhra Pradesh,Ysr,2022,1,1339782,98878499
Andhra Pradesh,West Godavari,2022,1,1626039,87642475
Andhra Pradesh,Chittoor,2022,1,2270705,144146671
Andhra Pradesh,East Godavari,2022,2,2564165,93383888
Andhra Pradesh,Srikakulam,2022,2,1086164,51087942
Andhra Pradesh,Visakhapatnam,2022,2,3226029,93552701
Andhra Pradesh,Prakasam,2022,2,1487589,108172758
Andhra Pradesh,Anantapur,2022,2,1928213,181499094
Andhra Pradesh,Kurnool,2022,2,1825280,136447455
Andhra Pradesh,Guntur,2022,2,2514794,91997209
Andhra Pradesh,Krishna,2022,2,2552107,95341487
Andhra Pradesh,Spsr Nellore,2022,2,1509927,108755384
Andhra Pradesh,Vizianagaram,2022,2,943242,50230853
Andhra Pradesh,Ysr,2022,2,1412848,106157470
Andhra Pradesh,West Godavari,2022,2,1714357,103338893
Andhra Pradesh,Chittoor,2022,2,2392549,158771722
Andhra Pradesh,East Godavari,2022,3,2702234,85780890
Andhra Pradesh,Srikakulam,2022,3,1147016,46323107
